name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,realease_year
Funkup Wave,Toni Palermo,0.792,0.241,8,-11.933,0,0.245,0.618,0.804,0.118,0.633,141.923,140962,4,2022
Venice Sun,Rocket Jr,0.678,0.664,9,-8.242,0,0.0924,0.462,0.929,0.104,0.3,174.069,184122,4,2022
Good Old Times,Ouflen,0.484,0.301,2,-14.852,1,0.0362,0.978,0.897,0.105,0.363,129.828,121538,4,2022
Romance,Am Froggo,0.776,0.178,3,-10.957,0,0.0508,0.971,0.866,0.256,0.273,99.026,87273,4,2022
Not Me,Klode Chill,0.91,0.339,2,-9.737,1,0.0883,0.336,0.832,0.109,0.61,136.057,139412,4,2022
Hot Chocolate,LONELY ONES,0.693,0.562,2,-7.406,1,0.0448,0.364,0.857,0.16,0.208,90.023,148000,4,2022
amanhecendo,LYFE,0.669,0.259,7,-13.944,1,0.074,0.619,0.788,0.146,0.231,78.045,126154,4,2022
Earthbound,Paper Street Company,0.707,0.74,2,-4.878,1,0.0433,0.353,0.82,0.0847,0.602,74.964,142418,4,2022
Still,Sickboi Henry,0.668,0.234,5,-21.928,1,0.118,0.405,0.817,0.124,0.498,78.031,147692,4,2022
New Actress,Dojen Mirror,0.654,0.375,6,-13.784,0,0.0339,0.842,0.887,0.362,0.181,114.049,151579,4,2022
B_L_A_Z_E_R,TiL TaiLor,0.573,0.631,4,-5.129,0,0.045,0.308,0.164,0.76,0.697,76.962,135584,1,2022
Santa Anna,Tom Doolie,0.694,0.664,1,-11.054,1,0.337,0.164,0.88,0.108,0.119,81.796,120343,4,2022
Enchanted,Moetown,0.542,0.0712,0,-22.886,1,0.0351,0.979,0.887,0.0739,0.0825,119.976,145521,4,2022
Demora,Lito Akari,0.824,0.513,1,-12.011,0,0.0656,0.486,0.594,0.11,0.521,76.961,104651,4,2022
Ribeira,Pat Poker,0.677,0.238,5,-14.695,1,0.0543,0.967,0.9,0.0864,0.0676,70.99,162850,3,2022
Bustlin,LESKY,0.737,0.547,4,-7.851,0,0.0975,0.327,0.812,0.232,0.585,92.034,105652,4,2022
Shape,Jam'addict,0.684,0.187,2,-12.008,1,0.0987,0.925,0.901,0.101,0.297,79.997,108921,4,2022
Low Battery,Jokujekku,0.694,0.303,11,-11.62,0,0.043,0.773,0.864,0.683,0.472,136.031,134329,4,2022
Floater,Auxjack,0.717,0.634,9,-10.522,0,0.0766,0.864,0.941,0.354,0.567,79.929,122745,4,2022
Half Light,softy,0.54,0.229,0,-10.669,1,0.0397,0.979,0.891,0.153,0.126,61.858,175161,4,2022
Dark Daylight,Fed Nance,0.643,0.299,8,-11.441,0,0.0513,0.691,0.897,0.109,0.165,83.025,155602,4,2022
In The Beginning,Myríad,0.485,0.162,10,-20.156,0,0.0339,0.922,0.955,0.108,0.0616,143.943,136667,4,2022
Forms,Mr. Käfer,0.632,0.302,6,-11.719,1,0.0435,0.194,0.839,0.116,0.705,147.428,156000,4,2022
Complete,xander.,0.643,0.644,1,-9.393,0,0.0599,0.371,0.839,0.16,0.348,164.919,217779,4,2022
Summer Haze,ØDYSSEE,0.594,0.591,0,-10.109,1,0.0843,0.344,0.862,0.962,0.5,90.013,128000,4,2022
Upside Down,Snazzy,0.719,0.355,1,-9.975,1,0.0664,0.881,0.308,0.113,0.41,144.93,119500,4,2022
peas out,Cherrygroove,0.844,0.62,0,-5.663,1,0.231,0.274,0.662,0.448,0.742,170.068,124850,4,2022
Again,Zmeyev,0.848,0.308,9,-9.695,0,0.0749,0.539,0.852,0.111,0.233,92.027,156522,4,2022
Smile,Civin,0.668,0.376,1,-10.722,1,0.0642,0.833,0.727,0.373,0.713,82.98,120873,4,2022
I Need To Feel,Two Muses After,0.608,0.346,7,-12.613,0,0.0498,0.678,0.473,0.114,0.0646,89.992,199569,4,2022
It's Ok To Be Sad - Instrumental,sloh rou,0.739,0.383,5,-11.434,0,0.0293,0.691,0.781,0.115,0.412,101.016,121188,4,2022
Aftermath,Beamer,0.887,0.35,11,-7.634,1,0.11,0.113,0.88,0.109,0.305,82.494,174997,4,2022
johnny,Wieland & Ulrich,0.873,0.285,6,-13.012,0,0.557,0.572,5.6e-06,0.2,0.799,91.5,149000,4,2022
Rain Dance,KaspaHauser,0.669,0.212,4,-11.454,1,0.306,0.718,0.0315,0.14,0.346,83.941,160000,4,2022
Serenity,Sleep Tales,0.368,0.193,8,-18.209,0,0.0297,0.838,0.941,0.102,0.0711,94.052,122400,4,2022
Niki's Halva,Jules Hiero,0.733,0.222,0,-14.28,1,0.0385,0.956,0.902,0.0981,0.0978,131.93,140000,4,2022
Você E Eu,Myríad,0.689,0.453,8,-10.109,1,0.447,0.806,0.903,0.106,0.76,172.175,156279,4,2022
Talk To Me,Uevo,0.678,0.186,9,-9.352,1,0.0345,0.888,0.864,0.105,0.299,74.997,122667,4,2022
Friendly Faces,Oscar Hollis,0.772,0.525,2,-11.789,1,0.152,0.841,0.44,0.113,0.115,129.975,179077,4,2022
Keep Swimming,Dpsht,0.739,0.232,8,-10.297,0,0.124,0.877,0.889,0.0865,0.673,69.929,142474,4,2022
Traces,Glimlip,0.727,0.38,0,-12.458,1,0.116,0.575,0.504,0.147,0.548,82.133,129009,4,2022
Walking on Clouds,paris91,0.791,0.541,8,-8.916,0,0.0486,0.101,0.903,0.0882,0.882,148.002,135405,4,2022
Raindrops And Breakups,Florence Ada,0.489,0.336,7,-13.657,0,0.0854,0.779,0.939,0.12,0.376,84.021,114286,4,2022
When it Rains I Think of You,Sleep Tales,0.504,0.123,2,-20.507,1,0.0287,0.99,0.925,0.0983,0.0578,136.033,170400,4,2022
Mountain,the intern,0.494,0.419,10,-9.08,0,0.144,0.087,0.92,0.193,0.751,117.187,115285,5,2022
The Calm Place,Zmeyev,0.687,0.201,7,-9.523,0,0.301,0.619,0.917,0.0896,0.32,158.7,156000,4,2022
Wasauchimmeresist,Twit One,0.709,0.245,6,-12.285,0,0.132,0.903,0.927,0.107,0.356,159.919,150114,4,2022
be quiet,DAISI,0.769,0.109,8,-15.159,0,0.0471,0.581,0.801,0.0944,0.509,79.957,81685,4,2022
Mutual desire,Lunatic Sad,0.808,0.406,0,-10.081,1,0.0806,0.944,0.902,0.106,0.643,78.996,101772,4,2022
Spirit of Eien,Nogymx,0.499,0.373,4,-12.528,1,0.108,0.223,0.756,0.0958,0.164,170.172,209294,3,2022
Goiaba,Oaty.,0.757,0.679,10,-9.74,0,0.0864,0.619,0.828,0.109,0.374,103.016,139806,4,2022
"My Point, Exactly",Recaps,0.906,0.373,8,-9.453,1,0.215,0.181,0.479,0.0946,0.646,87.006,135652,4,2022
